date_prediction,action_rl,action_executed,trade_return_executed,cumulative_return,y_true,y_pred_lgbm
2024-10-03,0,0,-0.008980786101690182,0.7075194906842521,2,1
2024-10-08,2,2,0.011110843198780402,0.7153806288053257,1,1
2024-10-11,0,0,-0.0047188803327449635,0.7120048332256296,1,1
2024-10-17,2,2,0.0016656732142578017,0.7131908006047555,1,1
2024-10-22,0,0,0.007362605394960202,0.7184417430409241,0,1
2024-10-25,2,2,0.0009555251226772862,0.7191282321755799,1,1
2024-10-30,0,0,0.017369403806155953,0.7316190608286447,2,1
2024-11-04,2,2,0.04558450728482855,0.7649695552367075,2,1
2024-11-07,0,0,-0.0018231967555713854,0.763574865225489,1,1
2024-11-13,2,2,-0.015330650254714083,0.7518687660234267,1,1
2024-11-18,0,0,-0.009347369300125417,0.7448407710021762,1,1
2024-11-21,2,2,0.012258106775054137,0.7539711087035346,1,1
2024-11-26,0,0,-0.0017852309439814055,0.7526250961494091,1,1
2024-12-02,2,2,0.004623659308770119,0.7561049781812342,1,1
2024-12-05,0,0,0.006617116058134558,0.7611082125739927,1,1
2024-12-10,2,2,0.002681015471828301,0.7631487554676392,0,1
2024-12-13,0,0,0.02956982826569852,0.7857149331079988,1,1
2024-12-18,2,2,0.01735471534445174,0.7993507921139731,1,1
2024-12-23,0,0,-0.010632620876599268,0.790851598194016,1,1
2024-12-27,2,2,-0.014940940181284694,0.7790355317731258,1,1
2025-01-02,0,0,-0.006897782555481875,0.7736619140719606,1,1
2025-01-07,2,2,-0.013875331327608459,0.7629270986786605,1,1
2025-01-13,0,0,-0.0173262188854807,0.7497084567732892,2,1
2025-01-16,2,2,0.018846889949005203,0.763838129551934,2,1
2025-01-22,0,0,0.012173155855577019,0.7731364501514022,1,1
2025-01-27,2,2,0.009794976086133613,0.7807093031919534,1,1
2025-01-30,0,0,0.005483298851931789,0.7849901656178383,1,1
2025-02-04,2,2,-0.0019691760466029164,0.7834443817868848,1,1
2025-02-07,0,0,-0.004311321369315922,0.7800667012820165,1,1
2025-02-12,2,2,0.010353598207582677,0.7881431984822049,1,1
2025-02-18,0,0,0.018998070639142606,0.8031163986407297,0,1
2025-02-21,2,2,-0.009490868371540468,0.7954941266142049,0,1
2025-02-26,0,0,0.017854058337871643,0.8096969251582092,0,1
2025-03-03,2,2,-0.01900948955307775,0.7943049999182551,0,1
2025-03-06,0,0,0.029005770607400696,0.8173444285381954,1,1
2025-03-11,2,2,0.012000947457056632,0.8271533360794002,1,1
2025-03-14,0,0,-0.006446264374857828,0.8218212869964868,2,1
2025-03-19,2,2,0.016259924078081776,0.8351840387288012,1,1
2025-03-24,0,0,0.012875399498966432,0.8459373668825947,1,2
2025-03-27,2,2,-0.01058088067486691,0.8369866045451988,0,2
2025-04-01,0,0,0.09923359083717309,0.9200437907968319,0,2
